entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity,direction,fvg_range
2018-03-20 10:51:00-04:00,2018-03-20 16:00:00-04:00,long,158.59,158.73,eod,1.5859000000000094,635,88.89999999999134,15.607470690000001,73.29252930999134,100774.82140127532,100848.11393058531,long,"[158.38, 158.54]"
2018-03-21 15:15:00-04:00,2018-03-21 16:00:00-04:00,long,158.68,157.92,eod,1.5868000000000109,635,-482.6000000000123,15.59317176,-498.1931717600123,100848.11393058531,100349.9207588253,long,"[158.42, 158.45]"
2018-03-22 14:56:00-04:00,2018-03-22 16:00:00-04:00,short,155.46,153.95,eod,1.5545999999999935,645,973.9500000000124,15.794623260000002,958.1553767400125,100349.9207588253,101308.07613556532,short,"[155.51, 155.62]"
2018-03-28 09:46:00-04:00,2018-03-28 09:52:00-04:00,short,148.41,149.8941,stop,1.4841000000000122,682,-1012.1562000000083,16.567006236,-1028.7232062360083,101308.07613556532,100279.35292932931,short,"[148.94, 149.24]"
2018-04-03 09:54:00-04:00,2018-04-03 15:10:00-04:00,short,147.85,149.3285,stop,1.4784999999999968,678,-1002.4229999999978,16.45928394,-1018.8822839399978,100279.35292932931,99260.47064538932,short,"[147.95, 148.33]"
2018-04-05 10:19:00-04:00,2018-04-05 16:00:00-04:00,short,151.96,152.12,eod,1.519599999999997,653,-104.47999999999777,15.926988664,-120.40698866399777,99260.47064538932,99140.06365672532,short,"[152.11, 152.17]"
2018-04-06 10:05:00-04:00,2018-04-06 11:03:00-04:00,long,151.4,149.886,stop,1.51400000000001,654,-990.1560000000065,15.9136713432,-1006.0696713432066,99140.06365672532,98133.99398538211,long,"[151.1, 151.24]"
2018-04-09 15:52:00-04:00,2018-04-09 16:00:00-04:00,long,149.74,148.95,eod,1.497399999999999,655,-517.4500000000135,15.92096055,-533.3709605500135,98133.99398538211,97600.6230248321,long,"[149.56, 149.66]"
2018-04-16 15:45:00-04:00,2018-04-16 16:00:00-04:00,long,154.11,153.97,eod,1.5411000000000001,633,-88.62000000000936,15.474549677999999,-104.09454967800936,97600.6230248321,97496.52847515409,long,"[153.81, 153.9]"
2018-04-23 12:36:00-04:00,2018-04-23 16:00:00-04:00,short,153.88,153.19,eod,1.538800000000009,633,436.76999999999856,15.472965912,421.29703408799855,97496.52847515409,97917.82550924209,short,"[154.06, 154.12]"
2018-05-11 12:03:00-04:00,2018-05-11 16:00:00-04:00,long,160.48,160.34,eod,1.6048000000000116,610,-85.39999999999168,15.020305720000001,-100.42030571999167,97917.82550924209,97817.4052035221,long,"[160.41, 160.46]"
2018-05-14 15:17:00-04:00,2018-05-14 16:00:00-04:00,short,160.71,160.68,eod,1.6071000000000026,608,18.24000000000069,14.977312704000001,3.2626872960006903,97817.4052035221,97820.66789081809,short,"[160.74, 160.78]"
2018-05-17 13:23:00-04:00,2018-05-17 16:00:00-04:00,long,159.63,159.23,eod,1.5963000000000136,612,-244.80000000000348,15.050667528,-259.8506675280035,97820.66789081809,97560.81722329008,long,"[159.48, 159.55]"
2018-05-24 12:36:00-04:00,2018-05-24 16:00:00-04:00,short,160.24,160.46,eod,1.6023999999999887,608,-133.7599999999993,14.969368576,-148.7293685759993,97560.81722329008,97412.08785471409,short,"[160.31, 160.54]"
2018-05-29 09:49:00-04:00,2018-05-29 16:00:00-04:00,long,160.27,160.04,eod,1.6026999999999987,607,-139.61000000001104,14.941372984000001,-154.55137298401104,97412.08785471409,97257.53648173007,long,"[160.15, 160.19]"
2018-05-30 10:28:00-04:00,2018-05-30 16:00:00-04:00,short,160.39,161.14,eod,1.60390000000001,606,-454.5,14.922654252000001,-469.42265425200003,97257.53648173007,96788.11382747807,short,"[160.42, 160.49]"
2018-05-30 10:36:00-04:00,2018-05-30 16:00:00-04:00,long,160.72,161.14,eod,1.607200000000006,602,252.83999999999247,14.836706584000002,238.00329341599246,96788.11382747807,97026.11712089407,long,"[160.56, 160.69]"
2018-06-05 15:50:00-04:00,2018-06-05 16:00:00-04:00,long,165.48,165.5,eod,1.6547999999999945,586,11.720000000005996,14.513403400000001,-2.7934033999940056,97026.11712089407,97023.32371749407,long,"[165.4, 165.42]"
2018-06-08 11:35:00-04:00,2018-06-08 16:00:00-04:00,long,164.6,165.09,eod,1.646000000000015,589,288.61000000000536,14.580990678,274.0290093220054,97023.32371749407,97297.35272681608,long,"[164.55, 164.6]"
2018-06-15 15:04:00-04:00,2018-06-15 16:00:00-04:00,long,167.62,167.5,eod,1.6761999999999944,580,-69.60000000000264,14.39705,-83.99705000000264,97297.35272681608,97213.35567681608,long,"[167.46, 167.56]"
2018-06-19 12:18:00-04:00,2018-06-19 16:00:00-04:00,long,165.98,166.87,eod,1.65979999999999,585,520.6500000000086,14.510916810000001,506.1390831900086,97213.35567681608,97719.49476000608,long,"[165.76, 165.9]"
2018-06-27 10:15:00-04:00,2018-06-27 13:09:00-04:00,long,164.19,162.5481,stop,1.6418999999999926,595,-976.9304999999956,14.6874781221,-991.6179781220956,97719.49476000608,96727.87678188398,long,"[164.03, 164.11]"
2018-06-27 11:13:00-04:00,2018-06-27 15:54:00-04:00,short,163.57,161.11645,target,1.6357000000000141,591,1450.0480500000042,14.605528386,1435.4425216140041,96727.87678188398,98163.31930349799,short,"[163.7, 163.92]"
2018-07-18 14:31:00-04:00,2018-07-18 16:00:00-04:00,short,170.78,170.66,eod,1.7077999999999918,574,68.88000000000261,14.300454616,54.579545384002614,98163.31930349799,98217.89884888199,short,"[170.81, 170.87]"
2018-07-20 10:38:00-04:00,2018-07-20 16:00:00-04:00,long,170.6,169.73,eod,1.7059999999999889,575,-500.2500000000026,14.30858405,-514.5585840500027,98217.89884888199,97703.34026483199,long,"[170.42, 170.52]"
2018-07-20 12:30:00-04:00,2018-07-20 16:00:00-04:00,short,170.06,169.73,eod,1.7006000000000085,574,189.42000000000718,14.288965432000001,175.13103456800718,97703.34026483199,97878.4712994,short,"[170.07, 170.11]"
