entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,exposure
1999-06-30,1999-07-31,long,SP500_VIX_sized,100.0,96.89,-0.0311,monthly_rebalance,1.0
1999-07-31,1999-08-31,long,SP500_VIX_sized,100.0,99.02,-0.0098,monthly_rebalance,1.0
1999-08-31,1999-09-30,long,SP500_VIX_sized,100.0,97.62,-0.0238,monthly_rebalance,1.0
1999-09-30,1999-10-31,long,SP500_VIX_sized,100.0,109.525,0.09525,monthly_rebalance,1.5
1999-10-31,1999-11-30,long,SP500_VIX_sized,100.0,103.77,0.0377,monthly_rebalance,1.0
1999-11-30,1999-12-31,long,SP500_VIX_sized,100.0,108.1,0.081,monthly_rebalance,1.0
1999-12-31,2000-01-31,long,SP500_VIX_sized,100.0,95.67,-0.0433,monthly_rebalance,1.0
2000-01-31,2000-02-29,long,SP500_VIX_sized,100.0,102.88,0.0288,monthly_rebalance,1.0
2000-02-29,2000-03-31,long,SP500_VIX_sized,100.0,105.68,0.0568,monthly_rebalance,1.0
2000-03-31,2000-04-30,long,SP500_VIX_sized,100.0,94.11,-0.0589,monthly_rebalance,1.0
2000-04-30,2000-05-31,long,SP500_VIX_sized,100.0,93.915,-0.06085,monthly_rebalance,1.5
2000-05-31,2000-06-30,long,SP500_VIX_sized,100.0,105.08,0.0508,monthly_rebalance,1.0
2000-06-30,2000-07-31,long,SP500_VIX_sized,100.0,98.0,-0.02,monthly_rebalance,1.0
2000-07-31,2000-08-31,long,SP500_VIX_sized,100.0,107.53,0.0753,monthly_rebalance,1.0
2000-08-31,2000-09-30,long,SP500_VIX_sized,100.0,95.07,-0.0493,monthly_rebalance,1.0
2000-09-30,2000-10-31,long,SP500_VIX_sized,100.0,97.78,-0.0222,monthly_rebalance,1.0
2000-10-31,2000-11-30,long,SP500_VIX_sized,100.0,89.81,-0.1019,monthly_rebalance,1.0
2000-11-30,2000-12-31,long,SP500_VIX_sized,100.0,102.27,0.0227,monthly_rebalance,1.5
