,0
2011-03-17,83876.08522007482
2011-03-18,84306.51632234773
2011-03-21,86305.10416206771
2011-03-22,85874.00297939923
2011-03-23,86209.49838802751
2011-03-24,87349.34599973992
2011-03-25,87702.63043345923
2011-03-28,87332.39377913674
2011-03-29,88437.00301037269
2011-03-30,89257.81631549814
2011-03-31,88868.38445825825
2011-04-01,89401.51700619668
2011-04-04,89256.74615051813
2011-04-05,89324.11639789061
2011-04-06,88989.15840205744
2011-04-07,88662.052792464
2011-04-08,88212.67656010654
2011-04-11,87549.43484617752
2011-04-12,86600.56676850584
2011-04-13,86990.3775703137
2011-04-14,86886.93876888792
2011-04-15,87556.48951222059
2011-04-18,86418.99572171517
2011-04-19,87457.5324070019
2011-04-20,89186.49493525144
2011-04-21,89676.74938227431
2011-04-25,89370.94046264314
2011-04-26,90169.24636672279
2011-04-27,90200.75677869545
2011-04-28,90233.73267154205
2011-04-29,90915.68915094661
2011-05-02,90238.37863090061
2011-05-03,89873.65387775474
2011-05-04,89329.85086059502
2011-05-05,89053.25586762052
2011-05-06,89642.74018630236
2011-05-09,90511.79293509599
2011-05-10,91572.94942597578
2011-05-11,89968.8393570495
2011-05-12,90024.73998995253
2011-05-13,88835.74574126194
2011-05-16,88348.02638761992
2011-05-17,87549.71362283535
2011-05-18,89077.01107560906
2011-05-19,89167.09392087415
2011-05-20,88120.14963191391
2011-05-23,86853.12874050089
2011-05-24,86820.779565689
2011-05-25,87712.91732464515
2011-05-26,88618.98810287708
2011-05-27,88942.49541466757
2011-05-31,89704.1989532502
2011-06-01,87614.16962011368
2011-06-02,88151.47081133912
2011-06-03,87004.78179732602
2011-06-06,85246.16502013852
2011-06-07,85702.06506039327
2011-06-08,84711.72056640752
2011-06-09,85847.22117315696
2011-06-10,84086.35158026076
2011-06-13,83455.93516960896
2011-06-14,85368.67912323742
2011-06-15,83360.02170109976
2011-06-16,82748.13830538039
2011-06-17,83024.92738173371
2011-06-20,84302.29703103346
2011-06-21,86337.01374892
2011-06-22,85757.03046313535
2011-06-23,86019.56131891698
2011-06-24,85173.45140978396
2011-06-27,86113.06008987862
2011-06-28,88337.36761972499
2011-06-29,88622.85191231857
2011-06-30,89611.78692218973
2011-07-01,91161.62276377431
2011-07-05,91526.80862603111
2011-07-06,91940.56701929029
2011-07-07,93048.61174641151
2011-07-08,92163.19605407503
2011-07-11,89756.45021056528
2011-07-12,89018.80926538857
2011-07-13,89573.55593649686
2011-07-14,88728.16072091376
2011-07-15,89781.37876978691
2011-07-18,89029.33254406968
2011-07-19,90561.26397697341
2011-07-20,90114.91392984698
2011-07-21,91123.23971888024
2011-07-22,91411.42834557577
2011-07-25,90758.13372141671
2011-07-26,90887.5775147726
2011-07-27,88013.91304879454
2011-07-28,87445.37984138251
2011-07-29,87037.46900547593
2011-08-01,86757.78499040332
2011-08-02,83826.9226510683
2011-08-03,84055.40689695136
2011-08-04,78576.96617859733
2011-08-05,78222.42035491402
2011-08-08,71248.63091772154
2011-08-09,76445.60403229407
2011-08-10,73492.94989738624
2011-08-11,77616.85063101156
2011-08-12,78417.23559761571
2011-08-15,80216.06489118154
2011-08-16,78671.86553923467
2011-08-17,78061.830772162
2011-08-18,72698.32599363798
2011-08-19,70980.87348436165
2011-08-22,71194.76842961877
2011-08-23,74568.43932758989
2011-08-24,75587.52268073727
2011-08-25,73868.18057052378
2011-08-26,75746.13134696119
2011-08-29,78693.5742642176
2011-08-30,79668.72207539144
2011-08-31,80061.10711672409
2011-09-01,79513.3690578289
2011-09-02,77137.15841083985
2011-09-06,77025.05883629592
2011-09-07,79888.57129647466
2011-09-08,78955.59927622307
2011-09-09,76551.21374697736
2011-09-12,77494.98814101492
2011-09-13,78990.04728030444
2011-09-14,80424.82908211846
2011-09-15,81467.73805061841
2011-09-16,81977.99764791905
2011-09-19,82300.96364118501
2011-09-20,81693.73684157568
2011-09-21,79376.58248752785
2011-09-22,76370.08525681823
2011-09-23,76379.70787632458
2011-09-26,78632.91562105645
2011-09-27,79220.95221135173
2011-09-28,77189.6675883764
2011-09-29,76224.38507137055
2011-09-30,73762.01030205711
2011-10-03,70850.15662407575
2011-10-04,73227.56019933643
2011-10-05,74997.84256176284
2011-10-06,76672.40063464396
2011-10-07,76009.43675117272
2011-10-10,79317.09824505365
2011-10-11,79245.1444204827
2011-10-12,80062.42270194559
2011-10-13,80426.21299395557
2011-10-14,82311.32635313745
2011-10-17,80520.69831065311
2011-10-18,81733.49771754019
2011-10-19,80123.8177892842
2011-10-20,80511.21645060567
2011-10-21,82422.86134810331
2011-10-24,84657.15279470211
2011-10-25,82425.11403964792
2011-10-26,83583.93903762368
2011-10-27,86743.29002939862
2011-10-28,86868.6991472813
2011-10-31,84868.89843252562
2011-11-01,82746.93903608258
2011-11-02,83944.54581760148
2011-11-03,84585.01822490132
2011-11-04,83963.51218320543
2011-11-07,83796.2883579629
2011-11-08,84406.63258105636
2011-11-09,81007.21524014122
2011-11-10,81929.12122871146
2011-11-11,83789.68377707034
2011-11-14,82930.47642924996
2011-11-15,83380.75781597725
2011-11-16,81293.34486605678
2011-11-17,79695.7646481296
2011-11-18,79318.94316193298
2011-11-21,78037.23827575822
2011-11-22,78169.83654443445
2011-11-23,76065.3970660778
2011-11-25,75691.34230125733
2011-11-28,78518.08908061186
2011-11-29,78340.54984839763
2011-11-30,81548.78791571414
2011-12-01,81191.14552659793
2011-12-02,81001.28003486789
2011-12-05,81543.75911225197
2011-12-06,81405.27743405898
2011-12-07,80795.96911772124
2011-12-08,79364.98161005026
2011-12-09,80701.06462274256
2011-12-12,79268.54003113104
2011-12-13,78319.75504894968
2011-12-14,77214.9080590557
2011-12-15,77434.4268195194
2011-12-16,77817.61107992804
2011-12-19,77259.30864358907
2011-12-20,79619.82197000163
2011-12-21,80083.36525148572
2011-12-22,80427.08972382669
2011-12-23,81194.44458400866
2011-12-27,81460.38007292632
2011-12-28,80569.61760478107
2011-12-29,81203.93213015815
2011-12-30,80553.34314682573
2012-01-03,80789.64638480205
2012-01-04,80916.64096918186
2012-01-05,81472.36634483114
2012-01-06,81248.35808111694
2012-01-09,81020.59861107163
2012-01-10,81292.21677748143
2012-01-11,80085.42366626856
2012-01-12,79922.74682121449
2012-01-13,79893.72819421103
2012-01-17,80025.69599136201
2012-01-18,80600.07042975943
2012-01-19,80037.88157612343
2012-01-20,79731.5265743853
2012-01-23,80918.064598434
2012-01-24,80942.68729497142
2012-01-25,81835.0500627533
2012-01-26,80889.85182134555
2012-01-27,80634.09160234967
2012-01-30,80545.41090526708
2012-01-31,80411.97064978184
2012-02-01,80870.84491570176
2012-02-02,81024.67811085214
2012-02-03,82299.6621917359
2012-02-06,82392.9660016735
2012-02-07,82761.10464418038
2012-02-08,83038.47502350077
2012-02-09,83408.4668038063
2012-02-10,83000.18235986093
2012-02-13,83832.02402293558
2012-02-14,83814.48916244556
2012-02-15,83576.91350322956
2012-02-16,84555.4981780146
2012-02-17,85415.39941270734
2012-02-21,85197.07053809734
2012-02-22,85019.658277324
2012-02-23,85586.31429795406
2012-02-24,85937.31802751082
2012-02-27,86024.10397959423
2012-02-28,85749.1028345807
2012-02-29,85867.77601774795
2012-03-01,86419.84856843909
2012-03-02,86272.42710643541
2012-03-05,86320.55274858561
2012-03-06,85227.6877957414
2012-03-07,85841.80300166701
2012-03-08,86419.59702924223
2012-03-09,86799.335533278
2012-03-12,86697.0605979216
2012-03-13,87785.5891655025
2012-03-14,87727.66896761254
2012-03-15,88038.9230790482
2012-03-16,87999.21753179595
2012-03-19,88442.9719201187
2012-03-20,88348.62537571492
2012-03-21,88573.76343853772
2012-03-22,88734.3365968537
2012-03-23,89180.61486434974
2012-03-26,90492.8035769642
2012-03-27,90376.45245219285
2012-03-28,89760.42396086396
2012-03-29,89990.45001118915
2012-03-30,90162.32051513028
2012-04-02,90804.49788176545
2012-04-03,91097.11536810908
2012-04-04,90267.99497348683
2012-04-05,90862.93251647011
2012-04-09,90048.78172030816
2012-04-10,88270.77227990379
2012-04-11,89445.53488054588
2012-04-12,90197.38050579678
2012-04-13,90212.07891919967
2012-04-16,89829.60225616861
2012-04-17,90546.44622218864
2012-04-18,91082.09634682258
2012-04-19,91058.43397773098
2012-04-20,91576.3895289158
2012-04-23,90456.6086987532
2012-04-24,90089.54331205803
2012-04-25,91230.92529122035
2012-04-26,91795.6371194625
2012-04-27,93229.61502349212
2012-04-30,92579.4899567154
2012-05-01,93060.7490110333
2012-05-02,93328.47703354378
2012-05-03,92369.40248824617
2012-05-04,91027.92164959668
2012-05-07,91115.64980373808
2012-05-08,90603.25715371239
2012-05-09,89887.74435421462
2012-05-10,90516.68515527474
2012-05-11,90445.27126572808
2012-05-14,89401.5554452104
2012-05-15,89442.28530015211
2012-05-16,89292.69679990697
2012-05-17,86705.29209705068
2012-05-18,86077.4663027395
2012-05-21,87899.26359801176
2012-05-22,88254.41324363889
2012-05-23,88955.85198122273
2012-05-24,89136.19514492
2012-05-25,88768.7051852208
2012-05-29,89659.7284605513
2012-05-30,88931.85211244776
2012-05-31,88648.4633587919
2012-06-01,85615.86590701013
2012-06-04,86053.30591258299
2012-06-05,86028.65162718808
2012-06-06,87776.53157009213
2012-06-07,87705.72883394333
2012-06-08,88481.4494555363
2012-06-11,87307.28218887417
2012-06-12,88490.75421980336
2012-06-13,87272.12960720003
