,equity_curve
2023-03-28,1.5208381180067585
2023-03-29,1.5192140314229863
2023-03-30,1.5176549413784934
2023-03-31,1.537679463235401
2023-04-03,1.5361686794848572
2023-04-04,1.5346958913546993
2023-04-05,1.5440982062988478
2023-04-06,1.5425896680523552
2023-04-10,1.5411014211938094
2023-04-11,1.5396778607084873
2023-04-12,1.5619061833463972
2023-04-13,1.5604214989582752
2023-04-14,1.5589606347002805
2023-04-17,1.5575424297070153
2023-04-18,1.5561592417173422
2023-04-19,1.5547907901393632
2023-04-20,1.553432993701282
2023-04-21,1.5521019173863106
2023-04-24,1.5507902693256803
2023-04-25,1.5494477678103682
2023-04-26,1.5480964180090206
2023-04-27,1.5466839188745436
2023-04-28,1.545317273969416
2023-05-01,1.545317273969416
2023-05-02,1.5440061994230352
2023-05-03,1.542679863485217
2023-05-04,1.541373147143019
2023-05-05,1.5608830053290323
2023-05-08,1.5595739664108625
2023-05-09,1.5595739664108625
2023-05-10,1.55832180563972
2023-05-11,1.5571032007892314
2023-05-12,1.5558983459962215
2023-05-15,1.5547120141957889
2023-05-16,1.5535571227871672
2023-05-17,1.5524008910430227
2023-05-18,1.5764101029670152
2023-05-19,1.5764101029670152
2023-05-22,1.5752926067205841
2023-05-23,1.5741655166292474
2023-05-24,1.5730319180939505
2023-05-25,1.571832079655779
2023-05-26,1.6057404837369027
2023-05-30,1.6044754503938112
2023-05-31,1.6032121142474736
2023-06-01,1.601913756847401
2023-06-02,1.6006653842408065
2023-06-05,1.5994377526423096
2023-06-06,1.5982356541371272
2023-06-07,1.5969788380339336
2023-06-08,1.5969788380339336
2023-06-09,1.5957260812869598
2023-06-12,1.5944587386658329
2023-06-13,1.593232789975207
2023-06-14,1.5919930934191455
2023-06-15,1.5907160272120462
2023-06-16,1.6045576946404283
2023-06-20,1.603293077670877
2023-06-21,1.602010982278248
2023-06-22,1.6236199865533094
2023-06-23,1.622298219761583
2023-06-26,1.6209447278558895
2023-06-27,1.6195587626958388
2023-06-28,1.6182004657351192
2023-06-29,1.6168934375731916
2023-06-30,1.6245416961136485
2023-07-03,1.62328030996668
2023-07-05,1.6261389775814399
2023-07-06,1.6248773882304743
2023-07-07,1.6248773882304743
2023-07-10,1.6236501199222664
2023-07-11,1.6224405551349157
2023-07-12,1.6224405551349157
2023-07-13,1.6212093473108014
2023-07-14,1.6199983362589294
2023-07-17,1.6187976363888228
2023-07-18,1.6175676836690764
2023-07-19,1.6163768667978562
2023-07-20,1.6151095163286289
2023-07-21,1.6138407634207617
2023-07-24,1.612597713889509
2023-07-25,1.611371610188617
2023-07-26,1.610159414905426
2023-07-27,1.6089035572067762
2023-07-28,1.6076011115310898
2023-07-31,1.606353161168224
2023-08-01,1.606353161168224
2023-08-02,1.622512189114168
2023-08-03,1.621199974961636
2023-08-04,1.6198863636059853
2023-08-07,1.6185894819315334
2023-08-08,1.6199592977931951
2023-08-09,1.6382516865811214
2023-08-10,1.6368887570063608
2023-08-11,1.635533417038602
2023-08-14,1.635533417038602
2023-08-15,1.6341995762355788
2023-08-16,1.6328586830658776
2023-08-17,1.6540743067088646
2023-08-18,1.6526804683500145
2023-08-21,1.651288761176632
2023-08-22,1.6639961925038977
2023-08-23,1.6626125098033833
2023-08-24,1.7057757531257767
2023-08-25,1.704222748763069
2023-08-28,1.7027282544145623
2023-08-29,1.7011854235360955
2023-08-30,1.6997154285839702
2023-08-31,1.698303067880501
2023-09-01,1.708712911460172
2023-09-05,1.707337578330776
2023-09-06,1.7059654915626508
2023-09-07,1.7045667001071214
2023-09-08,1.7032186043512956
2023-09-11,1.701885235701899
2023-09-12,1.700564973192605
2023-09-13,1.6992587614691268
2023-09-14,1.6979718651544524
2023-09-15,1.6966475666698404
2023-09-18,1.6953500424735848
2023-09-19,1.6953500424735848
2023-09-20,1.6940410006853013
2023-09-21,1.6926715968583148
2023-09-22,1.6913135403189832
2023-09-25,1.689969630728932
2023-09-26,1.6886052321617837
2023-09-27,1.6872294761604218
2023-09-28,1.6858207053475902
2023-09-29,1.6858207053475902
2023-10-02,1.6844315126960592
2023-10-03,1.682998222920206
2023-10-04,1.6815527864759625
2023-10-05,1.680129091033479
2023-10-06,1.6785992140742707
2023-10-09,1.6770840566981569
2023-10-10,1.6770840566981569
2023-10-11,1.6756667687038198
2023-10-12,1.6756667687038198
2023-10-13,1.674212687075038
2023-10-16,1.672760685872557
2023-10-17,1.6712921187458865
2023-10-18,1.669824118891295
2023-10-19,1.668330711737854
2023-10-20,1.6668179090211812
2023-10-23,1.6652446748909713
2023-10-24,1.6637268509563026
2023-10-25,1.6621377877383838
2023-10-26,1.660494739928493
2023-10-27,1.6588610019562604
2023-10-30,1.6572553788887374
2023-10-31,1.6556756335958942
2023-11-01,1.6785540147133031
2023-11-02,1.6769923009375285
2023-11-03,1.6754555368287698
2023-11-06,1.6739879344445758
2023-11-07,1.672545161346438
2023-11-08,1.6711608049455686
2023-11-09,1.6697813553078336
2023-11-10,1.6683508231883641
2023-11-13,1.6669801562019337
2023-11-14,1.6728443486374587
2023-11-15,1.6714903373149177
2023-11-16,1.6701751286232294
2023-11-17,1.6701751286232294
2023-11-20,1.668909117625896
2023-11-21,1.6676664628081892
2023-11-22,1.6664430023126056
2023-11-24,1.665265450823833
2023-11-27,1.6641157771170096
2023-11-28,1.6629984154261344
2023-11-29,1.6618931897938582
2023-11-30,1.660777695476359
2023-12-01,1.6596555199834915
2023-12-04,1.658491675151577
2023-12-05,1.658491675151577
2023-12-06,1.6573288400172916
2023-12-07,1.656145519860812
2023-12-08,1.6694645155791654
2023-12-11,1.6683048183424
2023-12-12,1.667159139673443
2023-12-13,1.6660174286670366
2023-12-14,1.6648739647515152
2023-12-15,1.6637538118281472
2023-12-18,1.662653182323271
2023-12-19,1.6615973858873405
2023-12-20,1.6604993498542766
2023-12-21,1.6593930565589832
2023-12-22,1.6593930565589832
2023-12-26,1.658335664559808
2023-12-27,1.6573249933708454
2023-12-28,1.6563510959872705
2023-12-29,1.6563510959872705
2024-01-02,1.6552904618848758
2024-01-03,1.6552904618848758
2024-01-04,1.6542237780017162
2024-01-05,1.6531624321230358
2024-01-08,1.6787835889269604
2024-01-09,1.677657932580227
2024-01-10,1.6765487294777408
2024-01-11,1.6754183408493497
2024-01-12,1.6743135350020288
2024-01-16,1.6732127114613526
2024-01-17,1.6720748413046176
2024-01-18,1.670933636140242
2024-01-19,1.670933636140242
2024-01-22,1.6698047899205515
2024-01-23,1.6686958060136758
2024-01-24,1.667581347427562
2024-01-25,1.666470613921486
2024-01-26,1.665378985886273
2024-01-29,1.6642901509329504
2024-01-30,1.663224670726742
2024-01-31,1.6620947178882894
2024-02-01,1.660955243264613
2024-02-02,1.6811164322027343
2024-02-05,1.6799566479577988
2024-02-06,1.6863732514995706
2024-02-07,1.6852161645090322
2024-02-08,1.6841084333361174
2024-02-09,1.6830054932936571
2024-02-12,1.6819195405399812
2024-02-13,1.6819195405399812
2024-02-14,1.6819195405399812
2024-02-15,1.6807824795562702
2024-02-16,1.6796492149326812
2024-02-20,1.6784769284923575
2024-02-21,1.6772888990757373
2024-02-22,1.6760132046332148
2024-02-23,1.6747722611187494
2024-02-26,1.6747722611187494
2024-02-27,1.6736100659879223
2024-02-28,1.6736100659879223
2024-02-29,1.6724833712473164
2024-03-01,1.671331730207334
2024-03-04,1.6702337388014967
2024-03-05,1.669054438649873
2024-03-06,1.6678722670180675
2024-03-07,1.6666665757078913
2024-03-08,1.6654110275059546
2024-03-11,1.664161708207921
2024-03-12,1.6628979142670968
2024-03-13,1.6616631821425478
2024-03-14,1.6616631821425478
2024-03-15,1.6616631821425478
2024-03-18,1.6603964124548851
2024-03-19,1.6591235456778088
2024-03-20,1.6578634554069098
2024-03-21,1.6566344176057541
2024-03-22,1.6554376249074567
2024-03-25,1.654266161952899
2024-03-26,1.653122597796618
2024-03-27,1.654391031067441
2024-03-28,1.6532992069804302
2024-04-01,1.6522219586972964
2024-04-02,1.6511059394125924
2024-04-03,1.649994086617826
2024-04-04,1.6488125773421147
2024-04-05,1.6475763507610737
2024-04-08,1.6463863355972008
2024-04-09,1.64519994843427
2024-04-10,1.6439987019182978
2024-04-11,1.6439987019182978
2024-04-12,1.6427382913004893
2024-04-15,1.641398891020267
2024-04-16,1.6400663327229141
2024-04-17,1.6387130068075635
2024-04-18,1.6373545253781778
2024-04-19,1.635931693300605
2024-04-22,1.6344862126552002
2024-04-23,1.6344862126552002
2024-04-24,1.6344862126552002
2024-04-25,1.6330318146804774
2024-04-26,1.6315938575948568
2024-04-29,1.6302149607953018
2024-04-30,1.6288102532813775
2024-05-01,1.6273413172336773
2024-05-02,1.6258765360594745
2024-05-03,1.624410034406242
2024-05-06,1.6229861064282143
2024-05-07,1.6216364043129774
2024-05-08,1.6288583770024272
2024-05-09,1.6275816831806456
2024-05-10,1.6263471808932561
2024-05-13,1.6251601076551345
2024-05-14,1.623997351262367
2024-05-15,1.6228303521867438
2024-05-16,1.6217115231040167
2024-05-17,1.6206219703710678
2024-05-20,1.627201405137534
2024-05-21,1.626160240422931
2024-05-22,1.6251435797685718
2024-05-23,1.624087581037163
2024-05-24,1.6230201202662686
2024-05-28,1.6219894526641827
2024-05-29,1.6209640841335886
2024-05-30,1.6199199435678011
2024-05-31,1.618815030943425
2024-06-03,1.6176913528574937
2024-06-04,1.616576903387343
2024-06-05,1.615430214199647
2024-06-06,1.615430214199647
2024-06-07,1.6143590256315012
2024-06-10,1.613312076441973
2024-06-11,1.6122597337864841
2024-06-12,1.611189415650928
2024-06-13,1.611189415650928
2024-06-14,1.6101724429510578
2024-06-17,1.6091203159749679
2024-06-18,1.6081190568218027
2024-06-20,1.6070963435083991
2024-06-21,1.6070963435083991
2024-06-24,1.6060736518728371
2024-06-25,1.6050405354289716
2024-06-26,1.6040453955704164
2024-06-27,1.6030745299901754
2024-06-28,1.6020620100016072
2024-07-01,1.6010349785463713
2024-07-02,1.5999979121211212
2024-07-03,1.5989772484984794
2024-07-05,1.5979603141030274
2024-07-08,1.596988477311267
2024-07-09,1.5960418287000364
2024-07-10,1.5950889530965375
2024-07-11,1.5950889530965375
2024-07-12,1.5950889530965375
2024-07-15,1.5940157165004576
2024-07-16,1.5929533952475603
2024-07-17,1.5917683338354378
2024-07-18,1.5905431176546552
2024-07-19,1.5892958197302824
2024-07-22,1.5880355087115414
2024-07-23,1.5868120913946806
2024-07-24,1.6173463408303437
2024-07-25,1.6158480353565434
2024-07-26,1.6143501285465345
2024-07-29,1.6128858351975006
2024-07-30,1.6113671008851234
2024-07-31,1.6097621240825253
2024-08-01,1.6080460136037422
2024-08-02,1.606166923798809
2024-08-05,1.6039942389683084
2024-08-06,1.6018546698476737
2024-08-07,1.5997158264219582
2024-08-08,1.5975108625803836
2024-08-09,1.5954072774336725
2024-08-12,1.5933929948351648
2024-08-13,1.5913939198986842
2024-08-14,1.5894729453878107
2024-08-15,1.607850590519406
2024-08-16,1.606003019428429
2024-08-19,1.6041921176656257
2024-08-20,1.6024748933785962
2024-08-21,1.600810767803911
2024-08-22,1.600810767803911
2024-08-23,1.5991301526099235
2024-08-26,1.5974847766372307
2024-08-27,1.5958557601413528
2024-08-28,1.5958557601413528
2024-08-29,1.5942383058044158
2024-08-30,1.59265039637546
2024-09-03,1.6262703924044248
2024-09-04,1.6245297849118654
2024-09-05,1.6228129097001267
2024-09-06,1.6210490112765386
2024-09-09,1.6192980981734901
2024-09-10,1.617588503270639
2024-09-11,1.6157723641989206
2024-09-12,1.6140272951790986
2024-09-13,1.6123635917334473
2024-09-16,1.6107376419956883
2024-09-17,1.6091557436462884
2024-09-18,1.6075776843292648
2024-09-19,1.6059518454582031
2024-09-20,1.60437509886558
2024-09-23,1.602874240456113
2024-09-24,1.6014057141140479
2024-09-25,1.6000020450124224
2024-09-26,1.6084875647847405
2024-09-27,1.619074135532571
2024-09-30,1.6177159153553107
2024-10-01,1.633192716904453
2024-10-02,1.633192716904453
2024-10-03,1.6318128307854383
2024-10-04,1.6304644801041477
2024-10-07,1.6291226571386304
2024-10-08,1.6277695732111321
2024-10-09,1.6264483624153283
2024-10-10,1.6251628511804377
2024-10-11,1.6251628511804377
2024-10-14,1.623941245818781
2024-10-15,1.6226885749158029
2024-10-16,1.6214511179378157
2024-10-17,1.620239365128771
2024-10-18,1.6190557045334062
2024-10-21,1.6178922791030868
2024-10-22,1.6178922791030868
2024-10-23,1.6166854144228437
2024-10-24,1.615498321452156
2024-10-25,1.6143076564701921
2024-10-28,1.6131580879005876
2024-10-29,1.6119888318724782
2024-10-30,1.6108534978614109
2024-10-31,1.6096270848670378
2024-11-01,1.6083915717783024
2024-11-04,1.6071731863030276
2024-11-05,1.6059622414225228
2024-11-06,1.6046956044431893
2024-11-07,1.6034319174710971
2024-11-08,1.6022335076540037
2024-11-11,1.6058299555860345
2024-11-12,1.6058299555860345
2024-11-13,1.604694444977875
2024-11-14,1.6035765540586635
2024-11-15,1.6223098898990236
2024-11-18,1.6210721958044305
2024-11-19,1.6210721958044305
2024-11-20,1.6198473252819996
2024-11-21,1.6185992484851293
2024-11-22,1.6173924524133159
2024-11-25,1.6161925287335772
2024-11-26,1.6150304036870662
2024-11-27,1.6204171573239496
2024-11-29,1.6192542776147787
2024-12-02,1.6181092945669633
2024-12-03,1.6258719314737518
2024-12-04,1.6247660668511668
2024-12-05,1.6247660668511668
2024-12-06,1.63490406223778
2024-12-09,1.6338651895911143
2024-12-10,1.6328213463023915
2024-12-11,1.6467291735853604
2024-12-12,1.6456651925936543
2024-12-13,1.6446029366023747
2024-12-16,1.6435191509704077
2024-12-17,1.6424642170107366
2024-12-18,1.6412347992233827
2024-12-19,1.6412347992233827
2024-12-20,1.6398499861507154
2024-12-23,1.6385025040345649
2024-12-24,1.6385025040345649
2024-12-26,1.637214467015394
2024-12-27,1.6358713019087598
2024-12-30,1.6344710437080536
2024-12-31,1.633087962861036
2025-01-02,1.631661199744278
2025-01-03,1.6302267100364718
2025-01-06,1.6288110990870892
2025-01-07,1.6273478024852008
2025-01-08,1.6258875036913327
2025-01-10,1.6371299847202447
2025-01-13,1.6371299847202447
2025-01-14,1.6371299847202447
2025-01-15,1.6355921259676967
2025-01-16,1.6340993037683098
2025-01-17,1.6325987649457132
2025-01-21,1.631141774964805
2025-01-22,1.6296981448664742
2025-01-23,1.6283001362918785
2025-01-24,1.626941201035492
2025-01-27,1.6254076942240243
2025-01-28,1.6238518882268955
2025-01-29,1.6223556909267638
2025-01-30,1.6208778487167725
2025-01-31,1.619398028099126
2025-02-03,1.6178543089725443
2025-02-04,1.6340666229646699
2025-02-05,1.6325845070206972
2025-02-06,1.631170222492277
2025-02-07,1.6297528239977497
2025-02-10,1.6283369295462602
2025-02-11,1.626972254011991
2025-02-12,1.6256076616541415
2025-02-13,1.6242670333967633
2025-02-14,1.6229915149477159
2025-02-18,1.6237640244988172
2025-02-19,1.6225676162355425
2025-02-20,1.6213726376746243
2025-02-21,1.6201189266042813
2025-02-24,1.6436802551658338
2025-02-25,1.6423115269956128
2025-02-26,1.640931443999834
2025-02-27,1.6394362753000946
2025-02-28,1.6378442175178722
2025-03-03,1.636179885892423
2025-03-04,1.6343809371331552
2025-03-05,1.632567347458983
2025-03-06,1.6306783952444959
2025-03-07,1.6287520963251974
2025-03-10,1.62665306266813
2025-03-11,1.62665306266813
2025-03-12,1.624576960962237
2025-03-13,1.6505577393012978
2025-03-14,1.6484348579583787
2025-03-17,1.646381034953688
2025-03-18,1.6579560396350497
2025-03-19,1.6558914983356223
2025-03-20,1.6538744060165267
2025-03-21,1.6538744060165267
2025-03-24,1.6519207691794995
2025-03-25,1.6519207691794995
2025-03-26,1.6500756087004098
2025-03-27,1.648242572415335
2025-03-28,1.6463574066290083
2025-03-31,1.6443655112997133
2025-04-01,1.6424260906657153
2025-04-02,1.6699704235216268
2025-04-03,1.6677258622538744
2025-04-04,1.6651614905671215
2025-04-07,1.6620072530423444
2025-04-08,1.6588253358960292
2025-04-09,1.6549724606621061
2025-04-10,1.651261052674978
2025-04-11,1.6475475878829746
2025-04-14,1.6685685695252115
2025-04-15,1.6651877860931767
2025-04-16,1.6617150745350577
2025-04-17,1.6583677756141415
2025-04-21,1.6549956494482105
2025-04-22,1.6516618944993833
2025-04-23,1.6484610730914273
2025-04-24,1.645299531339422
2025-04-25,1.642331531316351
2025-04-28,1.6394872182162175
2025-04-29,1.6367507685264542
2025-04-30,1.6340013275908687
2025-05-01,1.6313843172074187
2025-05-02,1.6313843172074187
2025-05-05,1.6289599122435283
2025-05-06,1.626588431185033
2025-05-07,1.626588431185033
2025-05-08,1.6243474534537414
2025-05-09,1.6222139889590583
2025-05-12,1.6200502297470256
