,predicted_vol,exposure_symmetric,exposure_asymmetric_cap,exposure_binary_defensive,exposure_three_state,exposure
2019-01-07,0.18828009093678133,0.7966854023369119,0.7966854023369119,0.4,0.4,0.4
2019-01-08,0.16184219806152383,0.92682873685995,0.92682873685995,0.4,0.4,0.4
2019-01-09,0.16392466034471245,0.9150545115333428,0.9150545115333428,0.4,0.4,0.4
2019-01-10,0.15810398550147636,0.9487426868097472,0.9487426868097472,0.4,0.4,0.4
2019-01-11,0.1504511674743677,0.9970012364680083,0.9970012364680083,0.4,0.4,0.4
2019-01-14,0.14029375855746473,1.069185126568261,1.0,0.4,0.4,0.4
2019-01-15,0.14610260906371103,1.0266757107300488,1.0,0.4,0.4,0.4
2019-01-16,0.15223141492749898,0.9853419550191943,0.9853419550191943,0.4,0.4,0.4
2019-01-17,0.1431450389890817,1.0478882192448258,1.0,0.4,0.4,0.4
2019-01-18,0.14559603941680666,1.0302478048223953,1.0,0.4,0.4,0.4
2019-01-22,0.15141521121813,0.9906534409142602,0.9906534409142602,0.4,0.4,0.4
2019-01-23,0.15342280339158024,0.9776903868530923,0.9776903868530923,0.4,0.4,0.4
2019-01-24,0.14085575323407656,1.064919228046918,1.0,0.4,0.4,0.4
2019-01-25,0.13701203417164312,1.0947943434814351,1.0,0.4,0.4,0.4
2019-01-28,0.13744452360258413,1.0913494118814044,1.0,0.4,0.4,0.4
2019-01-29,0.12207616453783554,1.2287410942822496,1.0,0.85,0.85,0.85
2019-01-30,0.11393891423868373,1.3164949043289467,1.0,0.85,0.85,0.85
2019-01-31,0.12943098180158313,1.15891881458451,1.0,0.85,0.85,0.85
2019-02-01,0.12431502218489748,1.2066120197195513,1.0,0.85,0.85,0.85
2019-02-04,0.11737120146728468,1.2779966305602661,1.0,0.85,0.85,0.85
2019-02-05,0.1131846316935608,1.325268260854655,1.0,0.85,0.85,0.85
2019-02-06,0.10145956517197038,1.4784214750551639,1.0,0.85,0.85,0.85
2019-02-07,0.09731044651196866,1.5,1.0,0.85,0.85,0.85
2019-02-08,0.10991685870090791,1.3646678205038714,1.0,0.85,0.85,0.85
