entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2021-02-03,2021-02-05,vixshort,100,101.05831728611365,rebalance,1.0583,1,1556.21,2.66,1556.21,147045.49,148601.7
2021-02-05,2021-02-09,vixshort,100,100.01423764125717,rebalance,0.0142,1,21.16,9.87,21.16,148601.7,148622.86
2021-02-09,2021-02-12,vixshort,100,100.86599357542893,rebalance,0.866,1,1287.06,8.31,1287.06,148622.86,149909.92
2021-02-12,2021-02-18,vixshort,100,100.05186961662098,rebalance,0.0519,1,77.76,1.75,77.76,149909.92,149987.68
2021-02-18,2021-02-24,vixshort,100,101.60430958279032,rebalance,1.6043,1,2406.27,1.86,2406.27,149987.68,152393.95
2021-02-24,2021-02-25,vixshort,100,96.49398589255617,rebalance,3.506,1,-5342.95,1.81,-5342.95,152393.95,147050.99
2021-02-25,2021-03-01,vixshort,100,103.71454869267139,rebalance,3.7145,1,5462.28,7.65,5462.28,147050.99,152513.28
2021-03-01,2021-03-03,vixshort,100,98.75223652688933,rebalance,1.2478,1,-1903.0,6.17,-1903.0,152513.28,150610.27
2021-03-03,2021-03-04,vixshort,100,98.95143401905814,rebalance,1.0486,1,-1579.25,3.23,-1579.25,150610.27,149031.02
2021-03-04,2021-03-05,vixshort,100,101.8829909707866,rebalance,1.883,1,2806.24,1.99,2806.24,149031.02,151837.26
2021-03-05,2021-03-09,vixshort,100,100.63697077870705,rebalance,0.637,1,967.16,3.97,967.16,151837.26,152804.42
2021-03-09,2021-03-11,vixshort,100,100.44419765281087,rebalance,0.4442,1,678.75,10.03,678.75,152804.42,153483.18
2021-03-11,2021-03-12,vixshort,100,100.36349241983496,rebalance,0.3635,1,557.9,7.29,557.9,153483.18,154041.08
2021-03-12,2021-03-15,vixshort,100,100.60161871516655,rebalance,0.6016,1,926.74,9.13,926.74,154041.08,154967.82
2021-03-15,2021-03-22,vixshort,100,101.75912138971812,rebalance,1.7591,1,2726.07,7.09,2726.07,154967.82,157693.89
2021-03-22,2021-03-23,vixshort,100,99.08332793300139,rebalance,0.9167,1,-1445.54,2.0,-1445.54,157693.89,156248.35
2021-03-23,2021-03-26,vixshort,100,101.53510963304313,rebalance,1.5351,1,2398.58,1.69,2398.58,156248.35,158646.94
2021-03-26,2021-03-29,vixshort,100,99.28891499359698,rebalance,0.7111,1,-1128.11,2.1,-1128.11,158646.94,157518.82
2021-03-29,2021-03-31,vixshort,100,101.06752427383611,rebalance,1.0675,1,1681.55,1.94,1681.55,157518.82,159200.37
2021-03-31,2021-04-01,vixshort,100,100.83825683931317,rebalance,0.8383,1,1334.51,1.73,1334.51,159200.37,160534.88
2021-04-01,2021-04-15,vixshort,100,101.57330119532186,rebalance,1.5733,1,2525.7,2.2,2525.7,160534.88,163060.58
2021-04-15,2021-04-20,vixshort,100,99.2584500459853,rebalance,0.7415,1,-1209.18,1.66,-1209.18,163060.58,161851.4
2021-04-20,2021-04-21,vixshort,100,101.03194662337583,rebalance,1.0319,1,1670.22,2.21,1670.22,161851.4,163521.62
2021-04-21,2021-04-22,vixshort,100,98.9315013790704,rebalance,1.0685,1,-1747.23,1.64,-1747.23,163521.62,161774.4
2021-04-22,2021-04-27,vixshort,100,101.24588746750634,rebalance,1.2459,1,2015.53,1.7,2015.53,161774.4,163789.92
2021-04-27,2021-05-04,vixshort,100,99.35396771679802,rebalance,0.646,1,-1058.14,1.76,-1058.14,163789.92,162731.79
2021-05-04,2021-05-07,vixshort,100,101.8034993668888,rebalance,1.8035,1,2934.87,2.0,2934.87,162731.79,165666.65
2021-05-07,2021-05-10,vixshort,100,99.26561699725036,rebalance,0.7344,1,-1216.63,3.49,-1216.63,165666.65,164450.03
2021-05-10,2021-05-11,vixshort,100,98.46634178200082,rebalance,1.5337,1,-2522.1,2.95,-2522.1,164450.03,161927.92
