date,ret
2022-10-19,293071.8078112893
2022-10-20,293071.8078112893
2022-10-21,293071.8078112893
2022-10-24,293071.8078112893
2022-10-25,288805.8459216733
2022-10-26,284772.03430801036
2022-10-27,287756.21653408353
2022-10-28,287756.21653408353
2022-10-31,287756.21653408353
2022-11-01,287756.21653408353
2022-11-02,287756.21653408353
2022-11-03,288050.5889147483
2022-11-04,288050.5889147483
2022-11-07,285761.75812372944
2022-11-08,287094.6102704771
2022-11-09,287094.6102704771
2022-11-10,274554.8169888371
2022-11-11,279244.0964829337
2022-11-14,279244.0964829337
2022-11-15,279244.0964829337
2022-11-16,275989.43960040447
2022-11-17,266560.09665327345
2022-11-18,266560.09665327345
2022-11-21,270540.1817350604
2022-11-22,270540.1817350604
2022-11-23,268559.6638599235
2022-11-25,268559.6638599235
2022-11-28,267672.2855648369
2022-11-29,267672.2855648369
2022-11-30,267672.2855648369
2022-12-01,267672.2855648369
2022-12-02,271105.2388608793
2022-12-05,266736.94784798427
2022-12-06,269228.3588507199
2022-12-07,269228.3588507199
2022-12-08,269290.2107977082
2022-12-09,268647.09627677896
2022-12-12,268647.09627677896
2022-12-13,268647.09627677896
2022-12-14,264138.6015576784
2022-12-15,264138.6015576784
2022-12-16,264085.7738373669
2022-12-19,265877.9900349797
2022-12-20,265877.9900349797
2022-12-21,265877.9900349797
2022-12-22,265877.9900349797
2022-12-23,265877.9900349797
2022-12-27,265877.9900349797
2022-12-28,265877.9900349797
2022-12-29,265877.9900349797
2022-12-30,263865.59214369376
2023-01-03,263865.59214369376
2023-01-04,264061.6314648158
2023-01-05,264061.6314648158
2023-01-06,264061.6314648158
2023-01-09,264061.6314648158
2023-01-10,264061.6314648158
2023-01-11,264061.6314648158
2023-01-12,264061.6314648158
2023-01-13,264061.6314648158
2023-01-17,264061.6314648158
2023-01-18,264061.6314648158
2023-01-19,263350.3113293837
2023-01-20,263350.3113293837
2023-01-23,263350.3113293837
2023-01-24,263350.3113293837
2023-01-25,263350.3113293837
2023-01-26,263350.3113293837
2023-01-27,263350.3113293837
