entry_time,entry_price
2022-02-24,716941.4067242654
2022-02-25,766012.678691644
2022-02-28,760112.9951966711
2022-03-01,725395.4529106567
2022-03-02,765424.91892343
2022-03-03,753971.8997017294
2022-03-04,735588.6058653189
2022-03-07,670569.0840819731
2022-03-08,655313.8535348742
2022-03-09,707991.3330121177
2022-03-10,698402.2856124052
2022-03-11,671775.6005812075
2022-03-14,657075.5817602817
2022-03-15,700377.2167628913
2022-03-16,747003.9814175208
2022-03-17,775038.4474257423
2022-03-18,800412.2843901638
2022-03-21,799727.1302566741
2022-03-22,827802.4143461722
2022-03-23,795808.1701956852
2022-03-24,831800.3516570935
2022-03-25,843978.4661882878
2022-03-28,861595.4254628991
2022-03-29,893840.075373561
2022-03-30,877934.5735170342
2022-03-31,836916.0204346828
2022-04-01,844025.7914484389
2022-04-04,865711.9223761823
2022-04-05,832900.6833356858
2022-04-06,807897.267152872
2022-04-07,820117.5619501424
2022-04-08,813569.4472603053
2022-04-11,771839.0696608392
2022-04-12,763271.5280308136
2022-04-13,789501.1064291522
2022-04-14,759966.8153608355
2022-04-18,760902.5769094826
2022-04-19,797757.7625417184
2022-04-20,795995.7040708391
2022-04-21,760295.654311328
2022-04-22,697721.9185927626
2022-04-25,709821.4427838996
2022-04-26,648155.6939990917
2022-04-27,653638.3532340267
2022-04-28,703160.4241221917
2022-04-29,625191.7030978461
2022-05-02,636499.3341474875
2022-05-03,645264.3068725255
2022-05-04,704182.3073756599
2022-05-05,629137.5296625786
2022-05-06,617856.7310668053
2022-05-09,558511.240388497
2022-05-10,562380.8332780248
2022-05-11,535571.0048999209
2022-05-12,533884.6437509547
2022-05-13,572201.1040799654
2022-05-16,565245.6245607992
2022-05-17,600098.4311474612
2022-05-18,527538.5758009831
2022-05-19,517848.39480836113
2022-05-20,518522.98766397487
2022-05-23,547640.0585606578
2022-05-24,535083.9887281352
2022-05-25,549255.831611049
2022-05-26,582171.7350189409
2022-05-27,625076.2706462169
2022-05-31,614527.8699274622
2022-06-01,599615.7338358442
2022-06-02,633688.5021748946
2022-06-03,602682.1406147603
2022-06-06,608221.5840945747
2022-06-07,625690.7820566338
2022-06-08,605313.2392347148
2022-06-09,562092.1376412836
2022-06-10,513208.76927295397
2022-06-13,454761.50034086785
2022-06-14,450646.99763195793
2022-06-15,469910.2075273418
2022-06-16,423267.598289833
2022-06-17,425976.39378178574
2022-06-21,458142.4333548143
2022-06-22,455674.1874598672
2022-06-23,469085.4112263955
2022-06-24,513822.39362935803
2022-06-27,507916.8671303401
2022-06-28,476800.54523209686
2022-06-29,475614.1135068379
2022-06-30,464045.8685146546
2022-07-01,478764.94881653396
2022-07-05,481461.09925293335
2022-07-06,486356.2345579327
2022-07-07,508192.5824133321
2022-07-08,506955.1339563855
2022-07-11,489576.6389362455
2022-07-12,476582.589164156
2022-07-13,469075.484874553
2022-07-14,465635.2157333461
2022-07-15,492322.2290445646
2022-07-18,480133.2379663996
2022-07-19,519068.3233663533
2022-07-20,528969.7956898442
2022-07-21,545130.8030441648
2022-07-22,529981.8867661771
2022-07-25,531887.737828041
2022-07-26,513038.3133937583
2022-07-27,552985.1876152528
2022-07-28,573664.4478984558
2022-07-29,598867.5592534718
2022-08-01,593589.643043835
2022-08-02,581818.5281936921
2022-08-03,609144.026345517
2022-08-04,607937.4942466103
2022-08-05,604832.462068342
2022-08-08,602707.9201138677
2022-08-09,595565.9211114736
2022-08-10,633095.4422622069
2022-08-11,633095.4422622069
2022-08-12,665220.5899952103
2022-08-15,673432.9875011883
2022-08-16,677399.3159264328
2022-08-17,662965.0313528209
2022-08-18,668754.2619973583
2022-08-19,641811.3129073695
2022-08-22,601729.1075563943
2022-08-23,597362.7567148226
2022-08-24,603080.0950616758
2022-08-25,628626.5347471613
2022-08-26,564803.4599090549
2022-08-29,553584.2387096772
2022-08-30,535351.8592556117
2022-08-31,523127.21125506057
2022-09-01,528059.087810609
2022-09-02,511362.28759868763
2022-09-06,505558.52458140184
2022-09-07,532804.6827781586
2022-09-08,543250.4513763863
2022-09-09,568568.7241280182
2022-09-12,586935.2864231928
2022-09-13,510370.66800988297
2022-09-14,516191.4514906126
2022-09-15,498596.8316846436
2022-09-16,487257.7486720679
2022-09-19,498582.54751716595
2022-09-20,481435.0305748811
2022-09-21,456211.8128843806
2022-09-22,444732.71430706925
2022-09-23,422387.09073986905
2022-09-26,409826.2874034282
2022-09-27,406713.5931408055
2022-09-28,430714.5164359537
2022-09-29,403704.24622017273
2022-09-30,384985.0772370049
2022-10-03,415486.5505355147
2022-10-04,454114.36329006724
2022-10-05,450941.11592991714
2022-10-06,436991.3824178684
2022-10-07,400395.4404281446
2022-10-10,391234.0262945833
2022-10-11,383785.2037852191
2022-10-12,380007.1706060373
2022-10-13,410099.44919547497
2022-10-14,382053.2413749014
2022-10-17,411511.71620220825
2022-10-18,426009.100301106
2022-10-19,416949.9403878968
2022-10-20,406454.7415129774
2022-10-21,436113.4399528873
2022-10-24,452086.68086514046
2022-10-25,473773.03431817103
2022-10-26,463052.961576288
2022-10-27,455621.04348464956
2022-10-28,488158.2223223436
2022-10-31,477584.1131339079
2022-11-01,471324.15691681445
2022-11-02,435828.3913923609
2022-11-03,422375.9200054073
2022-11-04,440595.8705646957
2022-11-07,453258.6459468602
2022-11-08,460572.89917092834
2022-11-09,432102.2227961346
2022-11-10,503352.6061269854
2022-11-11,517948.7356583115
2022-11-14,504748.6850335967
2022-11-15,517642.2096280782
2022-11-16,505797.1616960312
2022-11-17,501172.19427527493
2022-11-18,508007.2689971472
2022-11-21,502441.3183973268
2022-11-22,522740.22525246727
2022-11-23,532604.5408646223
2022-11-25,532271.6196774691
2022-11-28,506772.1665139798
2022-11-29,504156.066220915
2022-11-30,551805.4926180972
2022-12-01,550613.84129846
2022-12-02,548701.4466246765
2022-12-05,519064.4454508679
2022-12-06,496640.8614073904
2022-12-07,494103.2031843167
2022-12-08,505720.7928945046
2022-12-09,494363.94601391867
2022-12-12,515746.9027172894
2022-12-13,527453.641997127
2022-12-14,517345.2140958993
2022-12-15,479386.3818967723
2022-12-16,462480.5164854295
2022-12-19,450735.33923351305
2022-12-20,452591.3883422795
2022-12-21,472877.78579655575
2022-12-22,452645.534359525
2022-12-23,460459.6047997757
2022-12-27,455002.43587846175
2022-12-28,438051.3891412299
2022-12-29,461710.16794819286
2022-12-30,458054.6745765992
2023-01-03,452244.33512332523
2023-01-04,462725.6300172885
2023-01-05,446875.84630594455
2023-01-06,477621.9859307891
2023-01-09,476813.0882423123
2023-01-10,486855.17356410844
2023-01-11,505307.78958717175
2023-01-12,510865.7487625739
2023-01-13,516786.53389842564
2023-01-17,513945.4120564791
2023-01-18,489601.4807153649
2023-01-19,478915.99298137025
2023-01-20,505681.70573973126
2023-01-23,523871.69515482936
2023-01-24,522193.75602394977
2023-01-25,522765.4861079674
2023-01-26,540011.6386920114
2023-01-27,543727.9855108572
2023-01-30,523257.43644980964
2023-01-31,546355.5497573366
2023-02-01,563771.395374938
2023-02-02,588382.7936188246
2023-02-03,569648.8032938397
2023-02-06,559185.6896169856
2023-02-07,581135.1940816379
2023-02-08,562079.4267496981
2023-02-09,547471.6160247806
2023-02-10,551301.7567447529
2023-02-13,570710.7133330363
2023-02-14,569931.9207898242
2023-02-15,575464.9606235526
2023-02-16,551710.8251086749
2023-02-17,547566.2272299456
2023-02-21,514617.9955643085
2023-02-22,512479.07878755435
2023-02-23,520648.8018120459
2023-02-24,503973.94108482753
2023-02-27,509107.19322852616
2023-02-28,503458.4590260377
2023-03-01,497692.6050999043
2023-03-02,509293.77000550495
2023-03-03,533815.5197624047
2023-03-06,534890.2051470181
2023-03-07,510304.84673659806
2023-03-08,512791.1392107442
2023-03-09,484427.9073620407
2023-03-10,463441.5812657875
2023-03-13,461487.1359499683
2023-03-14,484349.7326306702
2023-03-15,475255.8403431358
2023-03-16,500283.38298863784
2023-03-17,482811.87291876675
2023-03-20,496745.4476348651
2023-03-21,516293.78648683906
2023-03-22,489904.0923592584
2023-03-23,493877.2351930537
2023-03-24,503589.51449904684
2023-03-27,506406.26213141717
2023-03-28,503021.5484376788
2023-03-29,524943.7579329924
2023-03-30,534159.4976502004
2023-03-31,556765.6402166663
2023-04-03,563125.607168423
2023-04-04,553726.8892660572
2023-04-05,549375.8159067036
2023-04-06,555805.1139740956
2023-04-10,557541.3873783422
2023-04-11,557965.749718095
2023-04-12,551172.5078699101
2023-04-13,573112.725106652
2023-04-14,568920.9037874433
2023-04-17,575027.3893379347
2023-04-18,576153.4503549404
2023-04-19,575893.2510899083
2023-04-20,566442.1912366347
2023-04-21,567771.364495914
2023-04-24,569532.0512101386
2023-04-25,542421.7231208006
2023-04-26,535550.3538835698
2023-04-27,567509.9509464751
2023-04-28,582053.7877601171
2023-05-01,580265.0009151904
2023-05-02,560715.7798598964
2023-05-03,549184.6051697365
2023-05-04,537518.8734008108
2023-05-05,567342.7325011073
2023-05-08,567814.2678284597
2023-05-09,560351.304594336
2023-05-10,568173.7192454934
2023-05-11,565213.1402825016
2023-05-12,562989.7434071942
2023-05-15,568832.1568534854
2023-05-16,557410.2842459396
2023-05-17,577701.0578415778
2023-05-18,594400.9632803717
2023-05-19,591837.111827452
2023-05-22,592542.3444715043
2023-05-23,572603.7018812179
2023-05-24,560144.5489039802
2023-05-25,574715.6422837157
2023-05-26,597012.8807362268
2023-05-30,597721.9221622791
2023-05-31,587787.4857828507
2023-06-01,604540.4816719063
2023-06-02,630768.5129166523
2023-06-05,627138.0362534364
2023-06-06,631212.342927232
2023-06-07,624683.6698486635
2023-06-08,636006.9650214594
2023-06-09,639426.2744984837
2023-06-12,656815.8497350443
2023-06-13,669844.5384318153
2023-06-14,672235.8155217473
2023-06-15,697212.15334766
2023-06-16,690140.0067782127
2023-06-20,679359.8719097017
2023-06-21,668933.9246522771
2023-06-22,676195.2527241074
2023-06-23,660846.1337284485
2023-06-26,652743.6967264004
2023-06-27,674219.8572306454
2023-06-28,675228.1381669935
2023-06-29,683206.3011357503
2023-06-30,707425.4591379158
2023-07-03,709854.3735699538
2023-07-05,706674.6605371418
2023-07-06,690080.6271756185
2023-07-07,684864.0700608066
2023-07-10,690054.2715974952
2023-07-11,703217.0438279485
2023-07-12,720199.3059431366
2023-07-13,737352.4812970911
2023-07-14,735976.9504130501
2023-07-17,743660.1610354342
2023-07-18,760209.0930592109
2023-07-19,765304.0727332119
2023-07-20,750055.4347776955
2023-07-21,750055.4347776955
